,permno
0,10026
1,10032
2,10180
3,10182
4,10200
5,10252
6,10302
7,10308
8,10318
9,10363
10,10375
11,10382
12,10397
13,10421
14,10501
15,10517
16,10530
17,10606
18,10629
19,10693
20,10812
21,10860
22,10866
23,10874
24,10890
25,10932
26,10952
27,11018
28,11144
29,11154
30,11208
31,11267
32,11343
33,11369
34,11442
35,11481
36,11533
37,11547
38,11581
39,11628
40,11664
41,11691
42,11707
43,11731
44,11752
45,11809
46,11884
47,11995
48,12008
49,12036
50,12068
51,12070
52,12093
53,12211
54,12226
55,12363
56,12473
57,12477
58,12513
59,12566
60,12570
61,12588
62,12615
63,12758
64,12781
65,12880
66,12905
67,12906
68,12913
69,12914
70,13085
71,13105
72,13116
73,13124
74,13141
75,13188
76,13201
77,13244
78,13249
79,13253
80,13267
81,13278
82,13318
83,13375
84,13400
85,13410
86,13429
87,13520
88,13527
89,13543
90,13548
91,13563
92,13579
93,13600
94,13610
95,13622
96,13625
97,13687
98,13704
99,13712
100,13730
101,13743
102,13748
103,13752
104,13766
105,13825
106,13837
107,13887
108,13906
109,13919
110,13921
111,14039
112,14071
113,14076
114,14088
115,14097
116,14102
117,14137
118,14141
119,14145
120,14181
121,14185
122,14213
123,14221
124,14317
125,14318
126,14359
127,14378
128,14401
129,14456
130,14479
131,14487
132,14490
133,14526
134,14567
135,14601
136,14602
137,14603
138,14608
139,14632
140,14638
141,14651
142,14670
143,14682
144,14684
145,14688
146,14716
147,14751
148,14763
149,14773
150,14795
151,14803
152,14812
153,14816
154,14882
155,14926
156,14941
157,14953
158,14954
159,14960
160,14969
161,15014
162,15022
163,15031
164,15071
165,15079
166,15084
167,15133
168,15318
169,15456
170,16126
171,16432
172,16548
173,16555
174,17743
175,17929
176,17961
177,18091
178,18403
179,18649
180,18973
181,19721
182,19828
183,19880
184,20053
185,20117
186,20204
187,20395
188,20415
189,20512
190,20598
191,20618
192,20670
193,20750
194,20765
195,21055
196,21135
197,21742
198,21928
199,22825
200,23297
201,23835
202,23887
203,24248
204,24272
205,24328
206,24440
207,24459
208,24476
209,24969
210,25129
211,25304
212,25487
213,25590
214,26201
215,26614
216,27334
217,27430
218,27511
219,27562
220,27633
221,27684
222,27888
223,28345
224,28564
225,29102
226,29209
227,29612
228,30648
229,30680
230,30737
231,31077
232,31500
233,32942
234,33823
235,34497
236,34673
237,34948
238,35107
239,35124
240,35263
241,35685
242,35917
243,35991
244,36397
245,36898
246,37568
247,37875
248,38295
249,38659
250,38682
251,39220
252,39538
253,39571
254,39693
255,40416
256,40440
257,41187
258,41217
259,41241
260,41292
261,41452
262,42286
263,42439
264,42550
265,42796
266,43123
267,43481
268,44134
269,44274
270,44768
271,44943
272,45306
273,45728
274,46068
275,46077
276,46463
277,46690
278,47002
279,47379
280,47466
281,47677
282,47706
283,47730
284,47941
285,48144
286,48347
287,48523
288,49429
289,49488
290,49744
291,50623
292,50702
293,50948
294,51086
295,51369
296,51423
297,51625
298,52337
299,52396
300,52425
301,52716
302,52898
303,52936
304,53074
305,53110
306,53197
307,53225
308,54114
309,54253
310,54594
311,55001
312,55212
313,55511
314,55597
315,56223
316,57154
317,57808
318,57809
319,58318
320,58334
321,58771
322,58975
323,59045
324,59396
325,59619
326,59774
327,60186
328,60580
329,60687
330,61188
331,61313
332,61496
333,61516
334,61743
335,61946
336,62033
337,62341
338,62367
339,62498
340,63125
341,63467
342,63715
343,63765
344,63773
345,63781
346,64194
347,64450
348,64929
349,64961
350,65294
351,65306
352,65307
353,65330
354,65365
355,65752
356,66245
357,66325
358,66683
359,67467
360,67847
361,68021
362,68187
363,68196
364,68292
365,68830
366,69586
367,70092
368,70228
369,71176
370,71271
371,71475
372,72864
373,72980
374,72996
375,73219
376,75070
377,75182
378,75233
379,75285
380,75342
381,75416
382,75460
383,75517
384,75573
385,75578
386,75603
387,75649
388,75654
389,75694
390,75831
391,75846
392,75905
393,75912
394,75976
395,76081
396,76127
397,76128
398,76135
399,76136
400,76185
401,76224
402,76230
403,76261
404,76279
405,76282
406,76392
407,76478
408,76504
409,76573
410,76582
411,76602
412,76644
413,76684
414,76708
415,76711
416,76721
417,76732
418,76750
419,76752
420,76788
421,76795
422,76798
423,76837
424,76838
425,76839
426,76856
427,76868
428,77037
429,77090
430,77114
431,77117
432,77120
433,77157
434,77165
435,77191
436,77217
437,77239
438,77300
439,77354
440,77366
441,77415
442,77447
443,77453
444,77515
445,77516
446,77519
447,77520
448,77528
449,77584
450,77595
451,77610
452,77629
453,77643
454,77649
455,77659
456,77679
457,77763
458,77780
459,77785
460,77857
461,77878
462,77902
463,77917
464,77918
465,78001
466,78015
467,78034
468,78044
469,78081
470,78089
471,78137
472,78156
473,78170
474,78211
475,78664
476,78693
477,78756
