,ticker
0,AAN
1,AAOI
2,AAON
3,AAT
4,AAWW
5,ABCB
6,ABFS
7,ABG
8,ABM
9,ACC
10,ACHC
11,ACIW
12,ACLS
13,ACM
14,ACOR
15,ACXM
16,ADC
17,ADTN
18,ADUS
19,AEGN
20,AEIS
21,AEL
22,AEO
23,AFG
24,AG
25,AGCO
26,AGYS
27,AHH
28,AHS
29,AIN
30,AIR
31,AIT
32,AKR
33,AKRX
34,AKS
35,ALE
36,ALEX
37,ALG
38,ALGT
39,AM
40,AMAG
41,AMBC
42,AMCX
43,AMED
44,AMPH
45,AMSF
46,AMWD
47,AN
48,ANDE
49,ANF
50,ANGO
51,ANIK
52,ANIP
53,APEI
54,APOG
55,ARCB
56,ARGN
57,ARI
58,ARR
59,ARW
60,ARWR
61,ASB
62,ASBC
63,ASF
64,ASGN
65,ASH
66,ASNA
67,ASTE
68,ATI
69,ATNI
70,ATR
71,ATU
72,AVA
73,AVAV
74,AVD
75,AVP
76,AVT
77,AWR
78,AXB
79,AXE
80,AXL
81,AYI
82,AZZ
83,B
84,BANC
85,BANR
86,BBBY
87,BBCN
88,BBG
89,BC
90,BCC
91,BCEI
92,BCO
93,BCOR
94,BCPC
95,BDC
96,BEAT
97,BELFB
98,BFS
99,BGG
100,BGS
101,BHE
102,BHLB
103,BIG
104,BIO
105,BJRI
106,BKE
107,BKH
108,BLKB
109,BLMN
110,BMI
111,BOFI
112,BOH
113,BOOM
114,BOOT
115,BPAX
116,BPFH
117,BRC
118,BRKL
119,BRKS
120,BRO
121,BRX
122,BW
123,BWS
124,BXS
125,BYD
126,CACI
127,CAI
128,CAKE
129,CALM
130,CAMP
131,CAR
132,CASH
133,CASY
134,CATM
135,CATO
136,CATY
137,CBB
138,CBL
139,CBM
140,CBRL
141,CBSH
142,CBT
143,CBU
144,CCMP
145,CCOI
146,CCRN
147,CCS
148,CDK
149,CDR
150,CECO
151,CENT
152,CENTA
153,CENX
154,CEVA
155,CFR
156,CFX
157,CGNX
158,CHCO
159,CHDN
160,CHE
161,CHEF
162,CHK
163,CHS
164,CHSP
165,CHUY
166,CIEN
167,CIR
168,CKH
169,CLB
170,CLDT
171,CLGX
172,CLH
173,CLI
174,CLW
175,CMC
176,CMN
177,CMO
178,CMP
179,CMTL
180,CNK
181,CNMD
182,CNO
183,CNSL
184,CNX
185,COHR
186,COHU
187,COKE
188,COLB
189,CONE
190,CONN
191,COR
192,CORE
193,CORT
194,CPF
195,CPO
196,CPS
197,CPSI
198,CPT
199,CR
200,CRAY
201,CRCM
202,CREE
203,CRI
204,CRL
205,CROX
206,CRS
207,CRUS
208,CRVL
209,CRY
210,CRZO
211,CSGS
212,CSII
213,CSL
214,CTB
215,CTLT
216,CTR
217,CTRE
218,CTS
219,CUB
220,CUBI
221,CUTR
222,CUZ
223,CVBF
224,CVCO
225,CVGW
226,CVLT
227,CW
228,CWT
229,CXW
230,CY
231,CYH
232,CYTK
233,CZR
234,DAKT
235,DAN
236,DAR
237,DBD
238,DBRN
239,DCI
240,DCOM
241,DDD
242,DDS
243,DECK
244,DEI
245,DEPO
246,DF
247,DGII
248,DIN
249,DIOD
250,DKS
251,DLX
252,DNKN
253,DNOW
254,DNR
255,DO
256,DORM
257,DPLO
258,DPZ
259,DRH
260,DRQ
261,DSPG
262,DV
263,DW
264,DXPE
265,DY
266,EAT
267,EBIX
268,EBS
269,ECHO
270,ECOL
271,ECPG
272,EE
273,EGBN
274,EGHT
275,EGOV
276,EGP
277,EGRX
278,EHTH
279,EIG
280,ELY
281,EME
282,ENDP
283,ENR
284,ENS
285,ENSG
286,ENTA
287,ENVA
288,EPAY
289,EPR
290,EQT
291,ERA
292,ERI
293,ESE
294,EST
295,ETH
296,EV
297,EVR
298,EVTC
299,EWBC
300,EXEL
301,EXH
302,EXLS
303,EXP
304,EXPO
305,EXPR
306,EXTR
307,EZPW
308,FAF
309,FARO
310,FBC
311,FBP
312,FCF
313,FCFS
314,FCN
315,FDS
316,FELE
317,FF
318,FFBC
319,FFIN
320,FHN
321,FIC
322,FICO
323,FII
324,FIVE
325,FIX
326,FIZZ
327,FL
328,FLO
329,FLR
330,FMBI
331,FN
332,FNB
333,FNSR
334,FOE
335,FORM
336,FORR
337,FOSL
338,FOXF
339,FPTB
340,FR
341,FRGI
342,FSLR
343,FSP
344,FSS
345,FTR
346,FUL
347,FULT
348,FWRD
349,GB
350,GBCI
351,GBX
352,GCI
353,GCO
